,name,date,quantity,exposure,tracked_id,centered_traj,cluster_agg
16802,loki,01062021-33,1u,30.0,7.0,"[[-8.323529411764696, -0.9117647058823533], [-7.323529411764696, -0.9117647058823533], [-6.323529411764696, -1.9117647058823533], [-6.323529411764696, -0.9117647058823533], [-4.323529411764696, -0.9117647058823533], [-4.323529411764696, -0.9117647058823533], [-3.323529411764696, 0.08823529411764675], [-4.323529411764696, -1.9117647058823533], [-2.323529411764696, -0.9117647058823533], [-2.323529411764696, -0.9117647058823533], [-2.323529411764696, -0.9117647058823533], [-1.3235294117646959, 0.08823529411764675], [-1.3235294117646959, -0.9117647058823533], [-1.3235294117646959, 0.08823529411764675], [-0.32352941176469585, -0.9117647058823533], [-0.32352941176469585, 0.08823529411764675], [-0.32352941176469585, -0.9117647058823533], [-0.32352941176469585, 0.08823529411764675], [0.6764705882353041, 0.08823529411764675], [0.6764705882353041, 0.08823529411764675], [0.6764705882353041, 0.08823529411764675], [1.6764705882353041, 0.08823529411764675], [1.6764705882353041, 0.08823529411764675], [1.6764705882353041, 0.08823529411764675], [2.676470588235304, 0.08823529411764675], [2.676470588235304, 0.08823529411764675], [3.676470588235304, 1.0882352941176467], [3.676470588235304, 0.08823529411764675], [3.676470588235304, 2.0882352941176467], [5.676470588235304, 1.0882352941176467], [5.676470588235304, 2.0882352941176467], [7.676470588235304, 1.0882352941176467], [6.676470588235304, 2.0882352941176467], [7.676470588235304, 3.0882352941176467]]",47
15325,loki,01062021-2,0,0.0,1.0,"[[16.255319148936167, -21.627659574468087], [16.255319148936167, -20.627659574468087], [14.255319148936167, -21.627659574468087], [14.255319148936167, -20.627659574468087], [13.255319148936167, -21.627659574468087], [12.255319148936167, -20.627659574468087], [12.255319148936167, -20.627659574468087], [12.255319148936167, -19.627659574468087], [11.255319148936167, -20.627659574468087], [11.255319148936167, -19.627659574468087], [10.255319148936167, -19.627659574468087], [9.255319148936167, -19.627659574468087], [9.255319148936167, -18.627659574468087], [8.255319148936167, -18.627659574468087], [7.255319148936167, -18.627659574468087], [6.255319148936167, -17.627659574468087], [5.255319148936167, -17.627659574468087], [4.255319148936167, -17.627659574468087], [4.255319148936167, -16.627659574468087], [3.2553191489361666, -17.627659574468087], [4.255319148936167, -15.627659574468087], [2.2553191489361666, -16.627659574468087], [3.2553191489361666, -14.627659574468087], [2.2553191489361666, -15.627659574468087], [2.2553191489361666, -13.627659574468087], [1.2553191489361666, -14.627659574468087], [0.2553191489361666, -12.627659574468087], [0.2553191489361666, -13.627659574468087], [0.2553191489361666, -12.627659574468087], [0.2553191489361666, -12.627659574468087], [-0.7446808510638334, -11.627659574468087], [-0.7446808510638334, -10.627659574468087], [-1.7446808510638334, -11.627659574468087], [0.2553191489361666, -9.627659574468087], [-1.7446808510638334, -8.627659574468087], [-2.7446808510638334, -8.627659574468087], [-2.7446808510638334, -7.627659574468087], [-2.7446808510638334, -6.627659574468087], [-3.7446808510638334, -6.627659574468087], [-2.7446808510638334, -5.627659574468087], [-4.744680851063833, -4.627659574468087], [-4.744680851063833, -3.627659574468087], [-4.744680851063833, -2.627659574468087], [-4.744680851063833, -2.627659574468087], [-3.7446808510638334, -0.6276595744680868], [-5.744680851063833, 0.37234042553191316], [-3.7446808510638334, 1.3723404255319132], [-5.744680851063833, 2.372340425531913], [-4.744680851063833, 3.372340425531913], [-6.744680851063833, 3.372340425531913], [-5.744680851063833, 4.372340425531913], [-4.744680851063833, 5.372340425531913], [-5.744680851063833, 5.372340425531913], [-5.744680851063833, 6.372340425531913], [-4.744680851063833, 6.372340425531913], [-5.744680851063833, 6.372340425531913], [-4.744680851063833, 6.372340425531913], [-4.744680851063833, 7.372340425531913], [-4.744680851063833, 7.372340425531913], [-4.744680851063833, 7.372340425531913], [-3.7446808510638334, 7.372340425531913], [-4.744680851063833, 8.372340425531913], [-3.7446808510638334, 8.372340425531913], [-4.744680851063833, 8.372340425531913], [-3.7446808510638334, 9.372340425531913], [-4.744680851063833, 9.372340425531913], [-3.7446808510638334, 10.372340425531913], [-4.744680851063833, 10.372340425531913], [-3.7446808510638334, 10.372340425531913], [-4.744680851063833, 11.372340425531913], [-3.7446808510638334, 12.372340425531913], [-4.744680851063833, 13.372340425531913], [-3.7446808510638334, 13.372340425531913], [-3.7446808510638334, 14.372340425531913], [-2.7446808510638334, 14.372340425531913], [-2.7446808510638334, 18.372340425531913], [-1.7446808510638334, 18.372340425531913], [-1.7446808510638334, 19.372340425531913], [-2.7446808510638334, 19.372340425531913], [-1.7446808510638334, 19.372340425531913], [-1.7446808510638334, 20.372340425531913], [-1.7446808510638334, 20.372340425531913], [-1.7446808510638334, 20.372340425531913], [-1.7446808510638334, 20.372340425531913], [-2.7446808510638334, 21.372340425531913], [-1.7446808510638334, 21.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 21.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 22.372340425531913], [-1.7446808510638334, 23.372340425531913]]",44
8367,emperador,12102021-48,1u,0.0,73.0,"[[1.6231884057971229, 5.05797101449275], [1.6231884057971229, 6.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 5.05797101449275], [2.623188405797123, 4.05797101449275], [2.623188405797123, 5.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 5.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 5.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 5.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 3.0579710144927503], [1.6231884057971229, 4.05797101449275], [1.6231884057971229, 2.0579710144927503], [0.6231884057971229, 3.0579710144927503], [0.6231884057971229, 2.0579710144927503], [-0.37681159420287713, 3.0579710144927503], [0.6231884057971229, 2.0579710144927503], [0.6231884057971229, 3.0579710144927503], [0.6231884057971229, 3.0579710144927503], [0.6231884057971229, 3.0579710144927503], [0.6231884057971229, 2.0579710144927503], [0.6231884057971229, 2.0579710144927503], [0.6231884057971229, 1.0579710144927503], [0.6231884057971229, 2.0579710144927503], [0.6231884057971229, 1.0579710144927503], [-0.37681159420287713, 2.0579710144927503], [-0.37681159420287713, 1.0579710144927503], [-0.37681159420287713, 1.0579710144927503], [0.6231884057971229, 1.0579710144927503], [0.6231884057971229, 1.0579710144927503], [0.6231884057971229, 1.0579710144927503], [0.6231884057971229, 1.0579710144927503], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, 0.05797101449275033], [-0.37681159420287713, -0.9420289855072497], [-0.37681159420287713, -0.9420289855072497], [-0.37681159420287713, -0.9420289855072497], [-0.37681159420287713, -0.9420289855072497], [-1.3768115942028771, -1.9420289855072497], [-1.3768115942028771, -0.9420289855072497], [0.6231884057971229, -1.9420289855072497], [1.6231884057971229, -2.9420289855072497], [0.6231884057971229, -3.9420289855072497], [-0.37681159420287713, -3.9420289855072497], [-0.37681159420287713, -3.9420289855072497], [-0.37681159420287713, -3.9420289855072497], [-0.37681159420287713, -3.9420289855072497], [-0.37681159420287713, -3.9420289855072497], [-1.3768115942028771, -4.94202898550725], [-1.3768115942028771, -4.94202898550725], [-1.3768115942028771, -4.94202898550725], [-2.376811594202877, -4.94202898550725], [-2.376811594202877, -5.94202898550725], [-2.376811594202877, -4.94202898550725], [-2.376811594202877, -5.94202898550725], [-3.376811594202877, -5.94202898550725], [-2.376811594202877, -6.94202898550725], [-3.376811594202877, -5.94202898550725], [-2.376811594202877, -6.94202898550725], [-3.376811594202877, -5.94202898550725], [-3.376811594202877, -6.94202898550725]]",11
